Video ID,Title,Description,URL,Published At,View Count
-l4sA5x5JRc,🔴 [ LIVE ] Mengenal UNNES Lebih Dekat,"🏫 YouTube playlist
- (BAJA ) Belajar apa jadi apa 
- Dosen The Series
-Sang Inoivator
-Kata Pakar
-Sang Inovator


Streamed with ❤️ by  @unnestv  
Hak Cipta Sepenuhnya Milik UNNES TV",https://www.youtube.com/watch?v=-l4sA5x5JRc,2024-10-24T14:09:26Z,40
Et91n1lAiK4,🔴 [ LIVE ] Kuliah Umum Overcoming Economic and Digital Disruptions | SG KU,"Informasi Pendaftaran Mahasiswa Baru
• https://unnes.ac.id/admission

Kuliah Umum Overcoming Economic and Digital Disruptions: Strategies for Students in that Era
📅  Rabu, 23 Oktober 2024 | 08.45 WIB
🏛️ Auditorium Prof Wuryanto Universitas Negeri Semarang

#kuliah #unnes #kemendikbud #stadium #generale

Stream with ❤ by  @UNNES TV",https://www.youtube.com/watch?v=Et91n1lAiK4,2024-10-23T17:55:24Z,907
byznjlu1zLQ,UNNES TV - Titik Lokasi Seleksi Ujian CASN 2024 UNNES Semarang,"Informasi lebih lanjut https://unnes.ac.id
#UnnesTV kali ini akan membahas tentang titik lokasi seleksi ujian CASN 2024 UNNES Semarang

Informasi Pendaftaran Mahasiswa Baru
• https://unnes.ac.id/admission

#unnes #snbp2024  #snbt2024  #snpmb #smunnes

Website: https://tv.unnes.ac.id
Spotify: https://spoti.fi/2Bn0RYl
Instagram: https://www.instagram.com/unnestv/ 

Silakan dibagikan ke seluruh media sosial anda (Whatsapp, Facebook, Twitter, Instagram, dll).

Informasi seputar UNNES TV, saran, kritik dan sanggahan bisa dilayangkan via email ke podcast@mail.unnes.ac.id",https://www.youtube.com/watch?v=byznjlu1zLQ,2024-10-21T08:33:50Z,282
CEPlxX2CebY,UNNES TV - A walk-through time: Austria - Indonesia's Anthropology landscape | In Conversation Ep.7,"Dr. Weichart joins us to share her experience as an anthropologist in Indonesia and Austria. She also discusses her recent work on 'Javanese Architecture between Heritage and Mobility'. Dr. Gabriele Weichart is a Senior Lecturer at the Department of Social and Cultural Anthropology at the University of Vienna. After completing her doctorate studies at the University of Vienna in 1997, she worked as a researcher and teacher at the University of Heidelberg, Germany (1997-2002) and as an associated researcher at the Maison Asie-Pacifique in Marseilles, France (2004-2005). Her research interests include the anthropology of material culture, especially vernacular architecture and art, cultural heritage and memory, disaster and social/cultural resilience, and food and consumption. Since 1990, she has conducted extensive fieldwork in Indonesia and Australia. She has been a visiting researcher and lecturer at various institutions in both countries, most recently at Universitas Gadjah Mada in 2023 and the Australian National University in 2022. She received the UNIVIE International Award 2017 for her achievements in establishing and promoting collaboration with Indonesian universities. Since 2018, she has coordinated Indonesian language courses at the University of Vienna in cooperation with the Indonesian Embassy in Austria.

In Conversation provides an impactful platform for influential thinkers, creators, makers, and doers
to share about learning and life that takes place here on campus and worldwide to make a difference
globally.

Disclaimer: The views or opinions expressed by the guest speakers are solely their own and do not
necessarily represent the views or opinions of UNNES. The comments on this channel belong only to
the person who posted them. However, we reserve the right to remove off-topic or inappropriate
comments.

Hosted by international award-winning educator Sandy Arief, PhD.

For more episodes, please visit: https://bit.ly/in-Conversation

Website: https://tv.unnes.ac.id
Spotify: https://spoti.fi/2Bn0RYl
Instagram: https://www.instagram.com/unnestv/ 

Silakan dibagikan ke seluruh media sosial anda (Whatsapp, Facebook, Twitter, Instagram, dll).

Informasi seputar UNNES TV, saran, kritik dan sanggahan bisa dilayangkan via email ke podcast@mail.unnes.ac.id",https://www.youtube.com/watch?v=CEPlxX2CebY,2024-10-17T01:16:38Z,244
5WKXggGHBDs,UNNES TV - Kunjungan Akademik Universitas Khairun ke UNNES,"Informasi lebih lanjut https://unnes.ac.id
Dalam kunjungan kali ini Universitas Khairun belajar bagaimana cara mengelola jurnal dan percepatan Guru Besar di Universitas Negeri Semarang. 

Informasi Pendaftaran Mahasiswa Baru
• https://unnes.ac.id/admission

#unnes #snbp2024  #snbt2024  #snpmb #smunnes

Website: https://tv.unnes.ac.id
Spotify: https://spoti.fi/2Bn0RYl
Instagram: https://www.instagram.com/unnestv/ 

Silakan dibagikan ke seluruh media sosial anda (Whatsapp, Facebook, Twitter, Instagram, dll).

Informasi seputar UNNES TV, saran, kritik dan sanggahan bisa dilayangkan via email ke podcast@mail.unnes.ac.id",https://www.youtube.com/watch?v=5WKXggGHBDs,2024-10-16T10:00:06Z,100
Udjtv4TT3jA,"🔴 [ LIVE ] Upacara Wisuda ke-125 Universitas Negeri Semarang (UNNES), Selasa 08 Oktober 2024","Informasi Pendaftaran Mahasiswa Baru
• https://unnes.ac.id/admission

🎓 Upacara Wisuda ke-125 Universitas Negeri Semarang (UNNES)
📅  Selasa 08 Oktober 2024 | 08.00 WIB
🏛️ Auditorium Prof Wuryanto Universitas Negeri Semarang

#wisuda #unnes #kemendikbud

Stream with ❤ by  @UNNES TV",https://www.youtube.com/watch?v=Udjtv4TT3jA,2024-10-08T04:08:49Z,11306
sVWL3Geq5dA,UNNES TV - Skill yang Harus Dikuasai untuk Menjadi Best Public Relation | Podskamling,"Sobat UNNES tau kah kalian untuk menjadi Public Relation (PR) ga cuma modal pinter ngomong loh, dibutuhkan beberapa skill tertentu agar kalian sukses di dunia PR, salah satunya Self Grooming. Simak selengkapnya dan persiapkan karir kalian sejak sekarang.

Informasi Pendaftaran Mahasiswa Baru
• https://unnes.ac.id/admission

#unnes #snbp2024  #snbt2024  #snpmb #smunnes

Website: https://tv.unnes.ac.id
Spotify: https://spoti.fi/2Bn0RYl
Instagram: https://www.instagram.com/unnestv/ 

Silakan dibagikan ke seluruh media sosial anda (Whatsapp, Facebook, Twitter, Instagram, dll).

Informasi seputar UNNES TV, saran, kritik dan sanggahan bisa dilayangkan via email ke podcast@mail.unnes.ac.id",https://www.youtube.com/watch?v=sVWL3Geq5dA,2024-10-01T09:30:21Z,164
sZ1IJaBO8To,"🔴 [ LIVE ] Sarasehan Selasa Legen ke-110 | ""Menjadi Wong Wadon Di Zaman Edan-Edanan""","Informasi Pendaftaran Mahasiswa Baru
• https://unnes.ac.id/admission

Sarasehan Selasa Legen ke-110 | ""Menjadi Wong Wadon Di Zaman Edan-Edanan""
- Narasumber: Tri Marhaeni Pudji Astuti (Guru Besar FISIP UNNES); Elisha Orcarus Allasso (Sinden)
- Moderator: Septi Wulandari (Jurnalis iNews TV)

Senin, 30 September 2024 | 19.30 WIB - selesai | Kampung Budaya UNNES 

#sarasehan #unnes #kemendikbud

Stream with ❤ by  @UNNES TV",https://www.youtube.com/watch?v=sZ1IJaBO8To,2024-10-01T03:55:55Z,2804
pSxfi5V395w,UNNESTV - AFTERMOVIE GEMASTIK 2024:AJANG KOLABORASI INOVASI & PRESTASI | UNIVERSITAS NEGERI SEMARANG,"Informasi lebih lanjut https://unnes.ac.id
#UnnesTV kali ini akan menampilkan momen-momen terbaik dari Gemastik 2024, ajang kompetisi teknologi dan informatika paling bergengsi di Indonesia, yang kali ini diselenggarakan oleh Universitas Negeri Semarang (UNNES) sebagai tuan rumah! 
Dengan 11 divisi kompetisi dan ribuan peserta dari seluruh penjuru negeri, Gemastik 2024 menjadi bukti semangat inovasi generasi muda. Jangan lewatkan cuplikan inspiratif dan penuh energi dari para peserta dan suasana kompetisi yang seru.

#Gemastik2024 #UNNES #InovasiTeknologi #GenerasiMuda #puspresnas #bpti 
#unnes #snbp2024  #snbt2024  #snpmb #smunnes

Website: https://tv.unnes.ac.id
Spotify: https://spoti.fi/2Bn0RYl
Instagram: https://www.instagram.com/unnestv/ 

Silakan dibagikan ke seluruh media sosial anda (Whatsapp, Facebook, Twitter, Instagram, dll).

Informasi seputar UNNES TV, saran, kritik dan sanggahan bisa dilayangkan via email ke podcast@mail.unnes.ac.id",https://www.youtube.com/watch?v=pSxfi5V395w,2024-09-26T07:15:55Z,688
0vMJIpJQ1DY,🔴 [ LIVE ] AWARDING CEREMONY GEMASTIK XVII 2024 | UNIVERSITAS NEGERI SEMARANG,"Awarding Pagelaran Mahasiswa Nasional Bidang Teknologi Informasi dan Komunikasi (Gemastik) XVII 2024 ""TIK untuk Peningkatan Pelayanan Publik Menuju Masyarakat Indonesia yang Sejahtera""

📅  Rabu 25 September 2024 | 15.00 WIB
🏛️ Auditorium Prof Wuryanto Universitas Negeri Semarang

Informasi Pendaftaran Mahasiswa Baru
• https://unnes.ac.id/admission

Informasi Gemastik XVII 2024
• https://gemastik.kemdikbud.go.id/

#gemastik #unnes #kemendikbud #puspresnas 

Website: https://tv.unnes.ac.id
Spotify: https://spoti.fi/2Bn0RYl
Instagram: https://www.instagram.com/unnestv/ 

Silakan dibagikan ke seluruh media sosial anda (Whatsapp, Facebook, Twitter, Instagram, dll).

Informasi seputar UNNES TV, saran, kritik dan sanggahan bisa dilayangkan via email ke podcast@mail.unnes.ac.id",https://www.youtube.com/watch?v=0vMJIpJQ1DY,2024-09-25T11:05:53Z,6556
